rxns	annotField	newID
HMR_8691	rxnMetaNetXID	MNXR106783
HMR_3521	rxnMetaNetXID	MNXR96377
HMR_3521	rxnBiGGID	
HMR_8419	rxnMetaNetXID	MNXR97521
HMR_8419	rxnBiGGID	DMHPTCRNCPT1
HMR_8417	rxnMetaNetXID	MNXR97521
HMR_8417	rxnBiGGID	
HMR_3316	rxnMetaNetXID	MNXR109096
HMR_3316	rxnKEGGID	R04756
HMR_3322	rxnMetaNetXID	MNXR124610
HMR_3288	rxnKEGGID	R04756
HMR_6910	rxnMetaNetXID	MNXR122729
HMR_2031	rxnMetaNetXID	MNXR135211
HMR_2034	rxnMetaNetXID	MNXR134312
HMR_3547	rxnMetaNetXID	MNXR105446
HMR_8038	rxnMetaNetXID	MNXR99233
HMR_8038	rxnBiGGID	FAH3
HMR_8621	rxnMetaNetXID	MNXR97151
HMR_8621	rxnBiGGID	
HMR_8615	rxnMetaNetXID	MNXR106387
HMR_10061	rxnMetaNetXID	MNXR112893
HMR_4284	rxnKEGGID	R00751
