mets	metNames	metComps
m02956c	TAG-chylomicron pool	c
m02956l	TAG-chylomicron pool	l
m02959r	TAG-VLDL pool	r
m00235g	1,2-diacylglycerol-LD-PC pool	g
m00235n	1,2-diacylglycerol-LD-PC pool	n
m00235s	1,2-diacylglycerol-LD-PC pool	s
m00235x	1,2-diacylglycerol-LD-PC pool	x
m00237n	1,2-diacylglycerol-LD-PI pool	n
m01426c	CDP-diacylglycerol-CL pool	c
m01807c	fatty acid-chylomicron pool	c
m01820c	fatty acid-VLDL pool	c
m02728m	phosphatidate-LD-PC pool	m
m02730m	phosphatidate-LD-PI pool	m
m02730r	phosphatidate-LD-PI pool	r
m02730g	phosphatidate-LD-PI pool	g
m02731r	phosphatidate-LD-PS pool	r
m02731g	phosphatidate-LD-PS pool	g
m02838s	retinyl-ester	s
m02838x	retinyl-ester	x
m00196r	[protein]	r
